isBourdon,flueDepth,frequency,cutUpHeight,diameterToe,acousticIntensity,partial1,partial2,partial3,partial4,partial5,partial6,partial7,partial8
1.0,0.0012,146.8,0.012,0.007,73.0,99.0,0.0,72.0,20.0,45.0,12.0,0.0,0.0
1.0,0.0012,146.8,0.012,0.008,69.0,57.0,0.0,99.0,15.0,25.0,0.0,0.0,0.0
1.0,0.0005,174.6,0.01,0.009,82.0,73.0,0.0,99.0,0.0,62.0,29.0,0.0,0.0
1.0,0.0005,174.6,0.01,0.008,82.0,90.0,0.0,99.0,0.0,66.0,44.0,0.0,32.0
1.0,0.0005,174.6,0.01,0.007,70.0,99.0,0.0,88.0,0.0,37.0,13.0,0.0,6.0
0.0,0.0015,69.3,0.0243,0.0208,76.0,37.0,99.0,52.0,0.0,9.0,3.0,0.0,0.0
0.0,0.0015,69.3,0.0243,0.0178,73.0,99.0,74.0,97.0,15.0,59.0,25.0,22.0,11.0
0.0,0.0015,69.3,0.0243,0.0155,78.0,99.0,68.0,85.0,6.0,43.0,16.0,13.0,2.0
0.0,0.0015,69.3,0.0243,0.0125,60.0,97.0,99.0,63.0,17.0,13.0,9.0,0.0,0.0
0.0,0.0015,69.3,0.0243,0.0208,75.0,48.0,99.0,56.0,28.0,25.0,3.0,0.0,24.0
0.0,0.0015,69.3,0.0243,0.0178,72.0,99.0,94.0,72.0,34.0,21.0,0.0,0.0,1.0
0.0,0.0015,69.3,0.0243,0.0155,68.0,99.0,90.0,68.0,25.0,3.0,0.0,0.0,0.0
0.0,0.0015,69.3,0.0243,0.0125,60.0,99.0,71.0,51.0,13.0,0.0,0.0,0.0,0.0
0.0,0.0011,110.0,0.017,0.007,67.0,99.0,88.0,53.0,27.0,3.0,0.0,0.0,0.0
0.0,0.0011,110.0,0.017,0.008,70.0,99.0,49.0,76.0,36.0,37.0,3.0,0.0,0.0
0.0,0.0011,110.0,0.017,0.009,79.0,42.0,49.0,55.0,20.0,6.0,0.0,0.0,0.0
0.0,0.0011,110.0,0.017,0.01,89.0,39.0,49.0,46.0,19.0,0.0,6.0,0.0,0.0
0.0,0.00035,196.0,0.0105,0.007,77.0,99.0,70.0,82.0,26.0,21.0,0.0,0.0,0.0
0.0,0.00035,196.0,0.0105,0.008,80.0,51.0,99.0,84.0,48.0,4.0,0.0,0.0,0.0
0.0,0.00035,196.0,0.0105,0.009,89.0,60.0,99.0,74.0,27.0,14.0,0.0,0.0,6.0
0.0,0.00035,196.0,0.0105,0.01,87.0,63.0,99.0,60.0,24.0,14.0,0.0,0.0,6.0
0.0,0.00125,116.5,0.0135,0.01,87.0,46.0,99.0,47.0,18.0,0.0,13.0,0.0,0.0
0.0,0.00125,116.5,0.0135,0.009,85.0,33.0,99.0,49.0,28.0,3.0,13.0,0.0,0.0
0.0,0.00125,116.5,0.0135,0.008,82.0,50.0,99.0,51.0,24.0,6.0,8.0,0.0,5.0
0.0,0.00125,116.5,0.0135,0.007,75.0,99.0,65.0,64.0,30.0,17.0,3.0,0.0,0.0
1.0,0.0012,146.8,0.012,0.007,73.0,99.0,0.0,66.0,17.0,42.0,5.0,0.0,0.0
1.0,0.0012,146.8,0.012,0.008,69.0,17.0,0.0,99.0,2.0,22.0,0.0,0.0,0.0
1.0,0.0005,174.6,0.01,0.009,82.0,72.0,0.0,99.0,0.0,41.0,27.0,0.0,0.0
1.0,0.0005,174.6,0.01,0.008,82.0,84.0,0.0,99.0,0.0,64.0,41.0,0.0,21.0
1.0,0.0005,174.6,0.01,0.007,70.0,84.0,0.0,84.0,0.0,36.0,12.0,0.0,4.0
